1582059211595,0.000,-0.335,0.244,0.030
1582059211606,11.000,-0.732,0.427,-0.335
1582059211616,21.000,-0.457,0.091,-0.122
1582059211626,31.000,-0.366,0.183,-0.152
1582059211635,40.000,-0.396,0.244,-0.091
1582059211645,50.000,-0.427,0.183,-0.091
1582059211655,60.000,-0.457,0.152,-0.122
1582059211666,71.000,-0.610,0.183,-0.122
1582059211676,81.000,-0.610,0.122,-0.152
1582059211686,91.000,-0.671,0.152,-0.213
1582059211695,100.000,-0.762,0.244,-0.213
1582059211705,110.000,-0.884,0.244,-0.213
1582059211715,120.000,-0.732,0.152,-0.305
1582059211726,131.000,-0.793,0.183,-0.427
1582059211736,141.000,-0.823,0.244,-0.335
1582059211746,151.000,-0.793,0.091,-0.366
1582059211755,160.000,-0.793,0.122,-0.518
1582059211765,170.000,-0.701,0.213,-0.427
1582059211775,180.000,-0.640,0.274,-0.518
1582059211786,191.000,-0.579,0.244,-0.518
1582059211796,201.000,-0.366,0.305,-0.488
1582059211806,211.000,-0.366,0.335,-0.579
1582059211815,220.000,-0.335,0.244,-0.488
1582059211825,230.000,-0.366,0.122,-0.366
1582059211836,241.000,-0.305,0.122,-0.366
1582059211846,251.000,-0.335,0.030,-0.427
1582059211856,261.000,-0.396,0.152,-0.457
1582059211866,271.000,-0.274,0.152,-0.427
1582059211875,280.000,-0.305,0.122,-0.396
1582059211885,290.000,-0.305,0.091,-0.518
1582059211896,301.000,-0.244,0.244,-0.518
1582059211906,311.000,-0.244,0.305,-0.457
1582059211916,321.000,-0.305,0.183,-0.427
1582059211925,330.000,-0.366,0.122,-0.366
1582059211935,340.000,-0.335,0.183,-0.366
1582059211945,350.000,-0.335,0.122,-0.305
1582059211956,361.000,-0.244,0.122,-0.274
1582059211966,371.000,-0.244,0.030,-0.152
1582059211976,381.000,-0.152,0.061,-0.122
1582059211985,390.000,-0.061,0.152,-0.091
1582059211995,400.000,-0.091,0.213,-0.061
1582059212005,410.000,-0.091,0.244,-0.030
1582059212016,421.000,-0.122,0.183,-0.061
1582059212026,431.000,0.030,0.091,-0.061
1582059212036,441.000,0.000,0.061,-0.122
1582059212045,450.000,-0.030,0.000,-0.122
1582059212055,460.000,0.091,0.061,-0.183
1582059212065,470.000,0.122,0.061,-0.152
1582059212076,481.000,0.122,0.091,-0.244
1582059212086,491.000,0.122,0.122,-0.305
1582059212096,501.000,-0.091,0.061,-0.335
1582059212105,510.000,-0.030,0.030,-0.396
1582059212115,520.000,0.061,0.061,-0.396
1582059212126,531.000,0.000,0.091,-0.457
1582059212136,541.000,0.000,0.183,-0.457
1582059212146,551.000,0.030,0.213,-0.427
1582059212156,561.000,-0.152,0.183,-0.427
1582059212165,570.000,-0.122,0.213,-0.457
1582059212175,580.000,-0.091,0.274,-0.427
1582059212186,591.000,-0.183,0.213,-0.335
1582059212196,601.000,-0.274,0.183,-0.396
1582059212206,611.000,-0.213,0.213,-0.396
1582059212216,621.000,-0.274,0.213,-0.274
1582059212225,630.000,-0.366,0.152,-0.396
1582059212235,640.000,-0.427,0.122,-0.396
1582059212246,651.000,-0.335,0.183,-0.335
1582059212256,661.000,-0.396,0.213,-0.274
1582059212266,671.000,-0.366,0.274,-0.366
1582059212275,680.000,-0.366,0.305,-0.396
1582059212285,690.000,-0.427,0.274,-0.305
1582059212295,700.000,-0.366,0.244,-0.213
1582059212306,711.000,-0.244,0.183,-0.152
1582059212316,721.000,-0.091,0.091,-0.091
1582059212326,731.000,-0.091,0.122,-0.091
1582059212335,740.000,0.000,0.305,-0.122
1582059212345,750.000,-0.091,0.305,-0.213
1582059212356,761.000,-0.122,0.183,-0.305
1582059212366,771.000,-0.152,0.244,-0.244
1582059212376,781.000,-0.305,0.213,-0.244
1582059212386,791.000,-0.488,0.213,-0.335
1582059212395,800.000,-0.427,0.122,-0.305
1582059212405,810.000,-0.427,0.061,-0.305
1582059212416,821.000,-0.518,0.061,-0.305
1582059212426,831.000,-0.518,0.061,-0.335
1582059212436,841.000,-0.396,0.152,-0.213
1582059212446,851.000,-0.305,0.213,-0.274
1582059212455,860.000,-0.244,0.244,-0.213
1582059212465,870.000,-0.122,0.274,-0.122
1582059212476,881.000,-0.091,0.152,-0.213
1582059212486,891.000,0.000,0.030,-0.213
1582059212496,901.000,-0.030,0.061,-0.152
1582059212506,911.000,0.030,0.091,-0.213
1582059212515,920.000,-0.030,0.061,-0.274
1582059212525,930.000,0.000,0.122,-0.244
1582059212536,941.000,0.061,0.152,-0.244
1582059212546,951.000,0.091,0.152,-0.274
1582059212556,961.000,0.061,0.152,-0.305
1582059212566,971.000,0.061,0.152,-0.366
1582059212575,980.000,0.030,0.091,-0.366
1582059212586,991.000,-0.030,0.061,-0.427
1582059212596,1001.000,-0.061,0.122,-0.396
1582059212606,1011.000,-0.244,0.183,-0.488
1582059212616,1021.000,-0.305,0.213,-0.549
1582059212627,1032.000,-0.244,0.274,-0.457
1582059212635,1040.000,-0.335,0.152,-0.366
1582059212646,1051.000,-0.457,0.274,-0.366
1582059212656,1061.000,-0.579,0.152,-0.427
1582059212666,1071.000,-0.579,0.122,-0.366
1582059212676,1081.000,-0.579,0.122,-0.366
1582059212687,1092.000,-0.518,0.183,-0.457
1582059212695,1100.000,-0.549,0.122,-0.366
1582059212706,1111.000,-0.488,0.213,-0.396
1582059212716,1121.000,-0.518,0.213,-0.396
1582059212726,1131.000,-0.549,0.244,-0.396
1582059212736,1141.000,-0.518,0.244,-0.335
1582059212745,1150.000,-0.457,0.274,-0.274
1582059212755,1160.000,-0.396,0.244,-0.305
1582059212766,1171.000,-0.335,0.213,-0.335
1582059212776,1181.000,-0.366,0.183,-0.305
1582059212786,1191.000,-0.152,0.274,-0.274
1582059212796,1201.000,-0.183,0.244,-0.305
1582059212805,1210.000,-0.335,0.213,-0.366
1582059212815,1220.000,-0.274,0.152,-0.305
1582059212826,1231.000,-0.427,0.122,-0.305
1582059212836,1241.000,-0.488,0.122,-0.396
1582059212846,1251.000,-0.396,0.030,-0.396
1582059212856,1261.000,-0.396,-0.091,-0.335
1582059212865,1270.000,-0.366,-0.030,-0.305
1582059212876,1281.000,-0.305,0.061,-0.244
1582059212886,1291.000,-0.335,0.244,-0.122
1582059212896,1301.000,-0.274,0.244,-0.244
1582059212906,1311.000,-0.183,0.152,-0.244
1582059212917,1322.000,-0.274,0.213,-0.213
1582059212925,1330.000,-0.305,0.122,-0.183
